Task ID,Task Name,Task Object Name,Task Type,Task Run ID,Project Name,Folder Name,Org ID,Environment ID,Environment,Cores Used,Start Time,End Time,Status,Metered Value,Audit Time,OBM Task Time(s)
000QML0Z0000000001K9,Mapping214,,MTT_TEST,1,ppenthoi,,80bTjaasFejbEkQynNFnyT,0Gv5s5lKGlEgO8WUuDsX2Y,INWPF3M1V35-AAD,1.1849124203821657,2024-05-22 08:45:04.0,2024-05-22 08:46:08.0,SUCCESS,0.017778,2024-05-22 08:46:07.0,0
000QML0Z0000000001K5,VGN_GCS_MappingTask,,MTT,2,Default,,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,1.5916816636672666,2024-05-23 01:24:04.0,2024-05-23 04:44:08.0,ERROR,3.334444,2024-05-23 04:44:07.0,0
000QML0Z0000000001K5,VGN_GCS_MappingTask,,MTT,3,Default,,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,1.6133546581367453,2024-05-23 04:54:35.0,2024-05-23 08:12:31.0,ERROR,3.298889,2024-05-23 08:12:30.0,0
000QML0Z0000000001K5,VGN_GCS_MappingTask,,MTT,4,Default,,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,1.7236552689462108,2024-05-23 09:01:28.0,2024-05-23 12:16:59.0,ERROR,3.258611,2024-05-23 12:16:59.0,0
000QML0Z0000000001KA,Mapping215,,MTT_TEST,1,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.0,2024-05-24 06:32:43.0,2024-05-24 06:32:56.0,WARNING,0.003611,2024-05-24 06:32:56.0,0
000QML0Z0000000001KA,Mapping215,,MTT_TEST,2,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.0,2024-05-24 06:46:55.0,2024-05-24 06:47:10.0,WARNING,0.004167,2024-05-24 06:47:10.0,0
000QML0Z0000000001KA,Mapping215,,MTT_TEST,3,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.0,2024-05-24 07:49:49.0,2024-05-24 07:50:02.0,WARNING,0.003611,2024-05-24 07:50:02.0,0
000QML0Z0000000001KA,Mapping215,,MTT_TEST,4,ppenthoi,,80bTjaasFejbEkQynNFnyT,lVmPRbEfsyClFMoVO5FDKz,invprabhu200301.informatica.com,0.0,2024-05-24 07:53:13.0,2024-05-24 07:53:27.0,WARNING,0.003889,2024-05-24 07:53:27.0,0
000QML0Z0000000001KB,MappingTask12,,MTT,1,Ramanuja,,80bTjaasFejbEkQynNFnyT,1ICkurTdk44eFS8SCRkGQf,JJ_Windows,0.0,2024-05-29 03:07:14.0,2024-05-29 03:07:38.0,SUCCESS,0.006667,2024-05-29 03:07:38.0,0
000QML0Z0000000001KB,MappingTask12,,MTT,2,Ramanuja,,80bTjaasFejbEkQynNFnyT,1ICkurTdk44eFS8SCRkGQf,JJ_Windows,0.0,2024-05-29 03:19:11.0,2024-05-29 03:19:30.0,SUCCESS,0.005278,2024-05-29 03:19:30.0,0
